code,libelle
DEB_PRG,Programmation
DEB_MTG,Montage
PRESCRIT,Prescrit
PAC,Porté à connaissance
PROROGE,Prorogé
ANTICIPE,Anticipé
APPROUVE,Approuvé
ANNULE,Annulé
ABROGE,Abrogé
